region,category_le,mode_le,powertrain_oe,param_EV sales,param_EV sales share,param_EV stock,param_EV stock share,unit_Vehicles,unit_percent,value_scaled,year_scaled
Austria,0,1,2.0,0,0,1,0,1,0,-0.09241022579508693,0.3623195211612331
Austria,0,1,2.0,1,0,0,0,1,0,-0.09244652195750898,0.3623195211612331
Austria,0,1,0.0,0,0,1,0,1,0,-0.042983101704066926,0.3623195211612331
Austria,0,1,0.0,1,0,0,0,1,0,-0.07713449089209436,0.3623195211612331
Austria,0,1,1.0,1,0,0,0,1,0,-0.08884825240103131,0.3623195211612331
Austria,0,1,1.0,1,0,0,0,1,0,-0.07993919435198067,0.6318021550921646
Austria,0,1,0.0,1,0,0,0,1,0,-0.06608065960901302,0.6318021550921646
Austria,0,1,0.0,0,0,1,0,1,0,-0.018235718234481828,0.6318021550921646
Austria,0,1,2.0,1,0,0,0,1,0,-0.09245477108533218,0.6318021550921646
Austria,0,1,2.0,0,0,1,0,1,0,-0.09240362649282836,0.6318021550921646
Austria,0,1,1.0,0,0,1,0,1,0,-0.0911992538306419,0.6318021550921646
Austria,0,1,3.0,0,1,0,0,0,1,-0.09246219530037306,0.6318021550921646
Austria,0,1,3.0,0,0,0,1,0,1,-0.09247588885248088,0.6318021550921646
Austria,0,1,3.0,0,0,0,1,0,1,-0.09247758817288819,0.9012847890230962
Austria,0,1,3.0,0,1,0,0,0,1,-0.09244487213194434,0.9012847890230962
Austria,0,1,1.0,0,0,1,0,1,0,-0.044632927268705935,0.9012847890230962
Austria,0,1,0.0,0,0,1,0,1,0,-0.09238712823718198,0.9012847890230962
Austria,0,1,2.0,1,0,0,0,1,0,-0.09245477108533218,0.9012847890230962
Austria,0,1,0.0,0,0,1,0,1,0,0.03455869983396639,0.09283688723030159
Austria,0,1,0.0,1,0,0,0,1,0,-0.0380336250101499,0.9012847890230962
Austria,0,1,1.0,1,0,0,0,1,0,-0.06773048517365203,0.9012847890230962
Austria,0,1,0.0,1,0,0,0,1,0,-0.07103013630293004,1.1707674229540277
Austria,0,1,0.0,1,0,0,0,1,0,-0.0363837994455109,1.1707674229540277
Austria,0,1,0.0,0,0,1,0,1,0,0.0890029434670536,1.1707674229540277
Austria,0,1,0.0,1,0,0,0,1,0,-0.09245477108533218,1.1707674229540277
Austria,0,1,2.0,0,0,1,0,1,0,-0.09237557945822951,1.1707674229540277
Austria,0,1,1.0,0,0,1,0,1,0,-0.023185194928398847,1.1707674229540277
Austria,0,1,3.0,0,1,0,0,0,1,-0.09244157248081507,1.1707674229540277
Austria,0,1,3.0,0,0,0,1,0,1,-0.09247291916654321,1.1707674229540277
Austria,0,1,3.0,0,0,0,1,0,1,-0.09247758817288819,1.4402500568849592
Austria,0,1,3.0,0,1,0,0,0,1,-0.0924349731785565,1.4402500568849592
Austria,0,1,1.0,0,0,1,0,1,0,0.00816149079974228,1.4402500568849592
Austria,0,1,2.0,0,0,1,0,1,0,-0.09233103416798426,1.4402500568849592
Austria,0,1,2.0,1,0,0,0,1,0,-0.09176844365044234,1.4402500568849592
Austria,0,1,0.0,0,0,1,0,1,0,0.17149422169900394,1.4402500568849592
Austria,0,1,0.0,1,0,0,0,1,0,-0.013286241540564807,1.4402500568849592
Austria,0,1,1.0,1,0,0,0,1,0,-0.09176844365044234,1.4402500568849592
Belgium,0,0,0.0,0,0,1,0,1,0,-0.09247291916654321,-2.063024184217151
Belgium,0,2,0.0,1,0,0,0,1,0,-0.09246631986428465,-2.063024184217151
Belgium,0,2,0.0,0,0,1,0,1,0,-0.09237557945822951,-2.063024184217151
Belgium,0,1,0.0,1,0,0,0,1,0,-0.09239867701613445,-2.063024184217151
Belgium,0,1,0.0,0,0,1,0,1,0,-0.09237722928379415,-2.063024184217151
Belgium,0,1,1.0,1,0,0,0,1,0,-0.09246467003872001,-2.063024184217151
Belgium,0,1,3.0,0,1,0,0,0,1,-0.09247785214498185,-2.063024184217151
Belgium,0,1,0.0,0,0,1,0,1,0,-0.09247621881767248,-2.063024184217151
Belgium,0,1,1.0,0,0,1,0,1,0,-0.09246302021315538,-2.063024184217151
Belgium,0,0,3.0,0,0,0,1,0,1,-0.09247758817288819,-2.063024184217151
Belgium,0,2,3.0,0,1,0,0,0,1,-0.09247784719550434,-2.063024184217151
Belgium,0,2,3.0,0,0,0,1,0,1,-0.09247785049515601,-2.063024184217151
Belgium,0,1,3.0,0,0,0,1,0,1,-0.09247786649846389,-2.063024184217151
Belgium,0,1,3.0,0,0,0,1,0,1,-0.09247785791937073,-1.793541550286219
Belgium,0,2,3.0,0,0,0,1,0,1,-0.09247784719550434,-1.793541550286219
Belgium,0,2,3.0,0,1,0,0,0,1,-0.09247780430003877,-1.793541550286219
Belgium,0,0,3.0,0,0,0,1,0,1,-0.0924778372965524,-1.793541550286219
Belgium,0,1,1.0,0,0,1,0,1,0,-0.0924349731785565,-1.793541550286219
Belgium,0,1,2.0,0,0,1,0,1,0,-0.0911992538306419,-1.793541550286219
Belgium,0,1,3.0,0,1,0,0,0,1,-0.092477782852306,0.09283688723030159
Belgium,0,1,1.0,1,0,0,0,1,0,-0.0924514714342029,-1.793541550286219
Belgium,0,1,0.0,0,0,1,0,1,0,-0.09194992446255264,-1.793541550286219
Belgium,0,1,0.0,1,0,0,0,1,0,-0.0920159174851382,-1.793541550286219
Belgium,0,2,0.0,0,0,1,0,1,0,-0.09234753242363064,-1.793541550286219
Belgium,0,2,0.0,1,0,0,0,1,0,-0.09243662300412114,-1.793541550286219
Belgium,0,0,3.0,0,0,1,0,1,0,-0.09247291916654321,-1.793541550286219
Belgium,0,0,0.0,0,0,1,0,1,0,-0.09247291916654321,-1.5240589163552876
Belgium,0,2,0.0,1,0,0,0,1,0,-0.09204891399643098,-1.5240589163552876
Belgium,0,2,0.0,0,0,1,0,1,0,-0.09193342620690625,-1.5240589163552876
Belgium,0,1,0.0,1,0,0,0,1,0,-0.09176844365044234,-1.5240589163552876
Belgium,0,1,0.0,0,0,1,0,1,0,-0.09110851342458674,-1.5240589163552876
Belgium,0,1,0.0,1,0,0,0,1,0,-0.09191692795125986,-1.5240589163552876
Belgium,0,1,3.0,0,1,0,0,0,1,-0.09247755517638377,-1.5240589163552876
Belgium,0,1,2.0,0,0,1,0,1,0,-0.0911992538306419,-1.5240589163552876
Belgium,0,1,1.0,0,0,1,0,1,0,-0.0911992538306419,-1.5240589163552876
Belgium,0,0,3.0,0,0,0,1,0,1,-0.0924778372965524,-1.5240589163552876
Belgium,0,2,3.0,0,1,0,0,0,1,-0.09247645804234789,-1.5240589163552876
Belgium,0,2,3.0,0,0,0,1,0,1,-0.09247778120248323,-1.5240589163552876
Belgium,0,1,3.0,0,0,0,1,0,1,-0.09247783234707489,-1.5240589163552876
Belgium,0,1,3.0,0,0,0,1,0,1,-0.09247781419899379,-1.254576282424356
Belgium,0,2,3.0,0,0,0,1,0,1,-0.09247775810492154,-1.254576282424356
Belgium,0,2,3.0,0,1,0,0,0,1,-0.09247755517638377,-1.254576282424356
